Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
225666,OIE,49.92,10.78,Europe,Germany,Bayern,Bamberg,Exact,15/03/2017,23/03/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, swan, wild, anatidae",,2,2,0,0,,,,
225665,OIE,53.86,10.5,Europe,Germany,Schleswig-Holstein,Stormarn,Exact,15/03/2017,23/03/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, anatidae",,2,2,0,0,,,,
225664,OIE,51.53,14.09,Europe,Germany,Brandenburg,Oberspreewald-Lausitz,Exact,07/03/2017,23/03/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, anatidae",,1,1,0,0,,,,
225663,OIE,49.76,6.66,Europe,Germany,Rheinland-Pfalz,Trier,Exact,01/03/2017,23/03/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, anatidae",,1,1,0,0,,,,
225662,OIE,51.34,9.56,Europe,Germany,Hessen,Göttingen,Exact,24/02/2017,23/03/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, grey heron",,1,1,0,0,,,,
225661,OIE,51.06655,5.75083,Europe,Belgium,Vlaams Gewest,Elen,Exact,17/03/2017,24/03/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,mallard,wild,black swan (cygnus atratus))",,2,2,0,0,,,,
225660,OIE,42.551111,8.949167,Europe,France,Corse,NESSA,Exact,21/03/2017,23/03/2017,Confirmed,Bluetongue,4,"domestic, cattle",111,1,0,0,0,,,,
225659,OIE,42.114722,9.513333,Europe,France,Corse,ALERIA,Exact,21/03/2017,23/03/2017,Confirmed,Bluetongue,4,"domestic, cattle",54,1,0,0,0,,,,
225655,OIE,10.1146,9.0822,Africa,Nigeria,Bauchi,Narabi,Exact,19/03/2017,20/03/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",6717,1177,1177,5540,0,,,,
225654,OIE,9.9299,8.87507,Africa,Nigeria,Plateau,Rantya Low cost,Exact,15/03/2017,20/03/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",1000,110,110,890,0,,,,
225653,OIE,9.97818,8.81678,Africa,Nigeria,Plateau,Jos,Exact,14/03/2017,20/03/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",2864,191,191,2673,0,,,,
225652,OIE,9.58157,8.20821,Africa,Nigeria,Kaduna,Gada Biu,Exact,11/03/2017,20/03/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",1445,14,14,1431,0,,,,
225651,OIE,22.721833,120.476556,Asia,Taiwan (Province of China),Taiwan Sheng,Jiuru Township,Exact,16/03/2017,20/03/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",28150,5000,5000,23150,0,,,,
225650,OIE,23.618128,120.2361,Asia,Taiwan (Province of China),Taiwan Sheng,Sihu Township,Exact,15/03/2017,20/03/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",44754,0,0,44754,0,,,,
225649,OIE,23.615791,120.240303,Asia,Taiwan (Province of China),Taiwan Sheng,Sihu Township,Exact,15/03/2017,20/03/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",7734,0,0,7734,0,,,,
225648,OIE,23.532947,120.2,Asia,Taiwan (Province of China),Taiwan Sheng,Kouhu Township,Exact,15/03/2017,20/03/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",16661,0,0,16661,0,,,,
225647,OIE,23.758606,120.232778,Asia,Taiwan (Province of China),Taiwan Sheng,Mailiao Township,Exact,14/03/2017,20/03/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",13368,16,16,13352,0,,,,
225646,OIE,23.68599,120.27872,Asia,Taiwan (Province of China),Taiwan Sheng,Dongshi Township,Exact,14/03/2017,20/03/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",9629,60,60,9569,0,,,,
225645,OIE,22.95508,120.51639,Asia,Taiwan (Province of China),Taiwan Sheng,Qishan District,Exact,13/03/2017,20/03/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",4457,0,0,4457,0,,,,
225644,OIE,23.62806,120.51139,Asia,Taiwan (Province of China),Taiwan Sheng,Gukeng Township,Exact,12/03/2017,20/03/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",33296,40,40,33256,0,,,,
225643,OIE,23.75191,120.22028,Asia,Taiwan (Province of China),Taiwan Sheng,Taixi Township,Exact,12/03/2017,20/03/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",15147,380,380,14767,0,,,,
225642,OIE,23.935568,120.333452,Asia,Taiwan (Province of China),Taiwan Sheng,Fangyuan Township,Exact,09/03/2017,20/03/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",1277,0,0,1277,0,,,,
225641,OIE,43.81408,19.88973,Europe,Serbia,Zlatiborski,Potocanje,Exact,01/11/2016,23/03/2017,Confirmed,Bluetongue,4,"domestic, cattle, domestic, sheep",43,9,8,0,0,,,,
225640,OIE,43.870822,19.818025,Europe,Serbia,Zlatiborski,Buar,Exact,01/11/2016,23/03/2017,Confirmed,Bluetongue,4,"domestic, sheep",10,5,5,0,0,,,,
225639,OIE,43.88625,19.76989,Europe,Serbia,Zlatiborski,Volujac,Exact,01/11/2016,23/03/2017,Confirmed,Bluetongue,4,"domestic, sheep",13,4,2,0,0,,,,
